268,342,642,378,MR. D.I.Y. SDN BHD
247,387,648,419,(CO.REG :704427-T)
108,425,786,465,"LOT 1851-A & 1851-B, JALAN KPB 6,"
129,469,763,507,"KWANSAN PERINDUSTRIAN BLANKONG,"
146,511,769,553,"43300 SERI KEMBANGAN, SELANGOR"
188,555,705,595,(GST ID NO :001092886528)
232,596,671,634,(CHERAS LEISURE MALL)
312,644,584,676,-TAX INVOICE-
40,727,477,761,PADLOCK ST-P6150 50MM
830,729,876,767,*S
42,769,295,805,0Z02 - 12/48
44,807,312,853,6942131561507
500,811,521,851,1
538,813,565,845,X
604,815,689,849,9.90
746,815,830,849,9.90
44,895,272,935,ITEM(S) : 1
665,898,870,936,QTY(S) : 1
44,978,428,1022,TOTAL INCL. GST@6%
718,982,872,1018,RM 9.90
42,1026,129,1058,CASH
703,1026,874,1064,RM 10.00
46,1067,168,1101,CHANGE
722,1066,872,1104,RM 0.10
40,1153,277,1185,GST SUMMARY
410,1151,562,1187,AMT(RM)
623,1155,764,1191,TAX(RM)
38,1191,220,1233,GST S@6%
475,1191,560,1233,9.34
684,1195,768,1235,0.56
46,1318,540,1354,28-12-17 18:52 SH01 ZT09
602,1318,870,1360,T1 R000020832
46,1364,542,1402,OPERATOR TRAINEE CASHIER
165,1447,727,1485,EXCHANGE ARE ALLOWED WITHIN
251,1491,661,1523,"7 DAY WITH RECEIPT,"
205,1531,703,1567,STRICTLY NO CASH REFUND.
