86,209,837,255,SYARIKAT PERNIAGAAN GIN KEE
374,264,537,310,(81109-A)
230,312,682,358,"NO 290, JALAN AIR PANAS,"
374,359,547,398,"SETAPAK,"
253,410,661,449,"53200, KUALA LUMPUR."
302,449,615,491,TEL : 03-40210276
271,516,654,552,GST ID : 000750673920
220,561,690,603,SIMPLIFIED TAX INVOICE
36,636,142,672,CASH
38,689,165,725,DOC NO.
41,741,170,777,CASHIER
31,780,279,836,SALESPERSON :
245,693,504,728,: CS00013118
253,745,396,774,: USER
93,1983,814,2021,"GOODS SOLD ARE NOT RETURNABLE, THANK YOU"
731,1889,825,1927,3.45
511,1892,612,1923,57.50
552,683,841,731,DATE: 03/02/2018
554,736,800,772,TIME: 11:49:00
553,788,643,830,REF. :
290,1892,402,1934,TOTAL:
741,1836,818,1864,3.45
34,878,112,917,ITEM
338,880,403,922,QTY
463,876,590,914,S/PRICE
620,876,760,917,AMOUNT
788,878,865,912,TAX
39,927,132,960,2786
44,1026,119,1067,1471
42,1128,127,1170,1943
349,929,380,962,2
357,1023,385,1062,1
354,1128,387,1166,2
483,925,560,963,4.77
483,1026,566,1065,4.77
480,1128,576,1166,23.32
687,924,762,960,9.54
687,1026,759,1064,4.77
669,1129,760,1165,46.64
798,925,857,958,SR
800,1030,857,1064,SR
796,1124,856,1163,SR
38,974,402,1013,12M WIRE ROPE CLIP
38,1075,670,1114,"4"" X KINKI BRD 2 WAY SCREWDRIVER"
34,1177,225,1216,HOES SET
127,1227,284,1273,TOTAL QTY:
349,1229,377,1267,5
129,1295,585,1338,TOTAL SALES (EXCLUDING GST) :
413,1352,590,1390,DISCOUNT :
392,1402,583,1443,TOTAL GST :
404,1460,593,1501,ROUNDING :
69,1524,587,1565,TOTAL SALES (INCLUSIVE OF GST) :
451,1579,599,1620,CASH :
418,1632,590,1665,CHANGE :
511,1833,619,1861,57.50
346,1833,388,1861,6
674,1792,813,1823,TAX (RM)
456,1792,609,1823,AMT (RM)
344,1792,375,1821,%
115,1830,163,1866,SR
107,1789,267,1822,TAX CODE
669,1224,762,1260,60.95
663,1292,774,1338,57.50
676,1351,764,1387,0.00
684,1400,762,1439,3.45
682,1462,764,1498,0.00
666,1518,759,1560,60.95
667,1576,762,1615,60.95
684,1629,764,1665,0.00
96,1725,380,1761,GST SUMMARY
