38,61,591,89,GARDENIA BAKERIES (KL) SDN BHD (139386 X)
174,87,446,111,"LOT 3, JALAN PELABUR 23/1,"
161,110,458,135,"40300 SHAH ALAM, SELANGOR."
122,133,306,154,TEL: 03- 55423228
193,157,433,179,GST ID: 000381399040
138,196,483,235,TAX INVOICE / ADJUSTMENT NOTE
245,257,510,294,CASH INV NO.: 7015F710
24,292,110,318,VE0514
320,298,513,319,DATE: 15/10/2017
25,325,370,361,MAKASSAR FRESH MARKET SDN BHD
24,366,311,390,"GROUND FLOOR, NO. 4 & 6,"
26,390,203,413,"JALAN SS 15/4B,"
25,413,346,435,"47500 SUBANG JAYA, SELANGOR"
25,435,271,457,VE05: RIDZUAN (11900)
251,457,412,479,DD: 15/10/2017
21,488,153,508,DESCRIPTION
174,487,213,505,U.P
223,487,259,507,ISS
269,489,308,507,EXC
326,489,343,507,D
352,487,401,507,SALE
422,490,505,509,AMT(RM)
20,523,144,544,O.C. WHITE
161,525,211,544,2.13
243,526,260,544,4
292,525,308,543,1
328,526,342,544,0
387,526,402,545,3
456,525,507,545,6.39
19,548,130,567,WHOLEMEAL
162,548,212,567,2.78
243,548,260,566,4
292,548,307,566,1
327,548,342,567,0
385,549,400,568,3
457,550,507,567,8.34
18,570,134,593,O.C JUMBO
161,572,213,591,2.97
244,572,260,590,4
290,572,307,591,0
326,571,343,590,0
385,573,401,590,4
447,572,507,591,11.88
182,604,398,643,TOTAL 0% SUPPLIES:
443,605,511,639,26.61
21,652,130,673,CR-CHOCLT
160,655,212,673,0.72
243,655,259,673,0
292,655,306,672,3
327,656,344,674,0
377,655,400,673,-3
446,655,506,674,-2.16
20,675,109,698,CR-CORN
161,677,211,696,0.72
244,679,260,696,0
292,677,307,696,1
326,677,343,696,0
374,678,401,695,-1
446,679,506,697,-0.72
44,707,401,750,TOTAL 6% SUPPLIES (EXCL. GST):
443,710,508,745,-2.88
350,757,398,790,GST:
445,758,507,790,-0.17
53,805,399,848,TOTAL 6% SUPPLIES (INC. GST):
446,806,505,845,-3.05
186,853,400,890,TOTAL 0% SUPPLIES:
442,853,510,890,26.61
230,903,397,946,TOTAL PAYABLE:
444,904,507,939,23.56
24,967,119,986,E.&.0.E.
23,990,554,1012,RECEIVED ABOVE GOODS IN GOOD ORDER CONDITION.
25,1013,492,1036,THE RECIPIENT OF GARDENIA'S PRODUCTS IS
23,1038,563,1060,REQUIRED TO MAKE NECESSARY ADJUSTMENTS TO ITS
24,1061,451,1083,"INPUT TAX CLAIMS, ON THE BASIC OF TH"
24,1084,488,1107,ADJUSTMENTS SHOWN IN THIS TAX INVOICE /
21,1109,206,1131,ADJUSTMENT NOTE
190,1135,429,1156,CUSTOMER'S COPY
320,135,502,156,FAX:03- 55423213
433,460,490,481,10:54
