178,67,501,99,ADVANCO COMPANY
126,95,553,130,COMPANY REG. NO. : 725186-V
98,131,581,171,"NO 1&3, JALAN WANGSA DELIMA 12,"
138,167,540,205,"WANGSA LINK, WANGSA MAJU,"
199,204,487,239,53300 KUALA LUMPUR
249,240,435,269,03-41318972
177,281,501,311,GST REG : 001658445824
232,322,451,352,TAX INVOICE
71,366,141,391,CB# :
72,405,126,430,M# :
70,448,185,473,CASHIER :
158,369,252,392,389772
161,406,239,429,M1 - 0
210,449,304,473,C1000-
395,371,628,398,17/01/2018 8:08:53
82,486,127,517,QTY
149,487,287,517,DESCRIPTION
422,488,485,515,PRICE
568,490,629,515,TOTAL
72,539,612,567,CANON PG-47BK E400 BLACK FINE ( SR
109,580,124,606,1
140,580,220,602,27736
415,582,485,608,29.00
560,584,629,607,29.00
109,631,129,657,1
147,630,216,660,TYPE:
258,631,272,656,1
327,631,393,657,TOTAL
561,633,630,659,29.00
84,671,254,704,ROUNDING ADJ
577,675,629,701,0.00
84,716,352,741,TOTAL INCLUSIVE GST:
83,762,162,785,CASH
84,797,185,828,CHANGE
84,846,301,875,GST SUMMARY
83,887,149,910,CODE
82,933,123,956,SR
190,886,216,910,%
176,931,216,957,6%
271,887,375,909,NET AMT
301,930,375,955,27.36
451,885,511,908,GST
457,930,510,953,1.64
80,975,143,1001,TOTAL
302,973,372,998,27.36
459,973,508,997,1.64
562,718,629,743,29.00
561,761,629,786,50.00
560,795,629,820,21.00
570,883,630,907,TOTAL
562,930,633,953,29.00
563,972,633,996,29.00
61,1022,621,1067,THANK YOU & PLEASE COME AGAIN.
80,1077,607,1107,GOODS SOLD ARE NOT RETURNABLE FOR REFUND OR
273,1111,418,1141,EXCHANGE !!
